Czas;VA;VB;TB
556x;0.935453x;2.43497x;45.6346x
557x;0.931044x;2.43378x;45.6097x
558x;0.926645x;2.43258x;45.5848x
559x;0.922257x;2.43137x;45.5598x
560x;0.917879x;2.43016x;45.5347x
561x;0.913511x;2.42894x;45.5097x
562x;0.909154x;2.42772x;45.4845x
563x;0.904807x;2.42648x;45.4593x
564x;0.90047x;2.42525x;45.4341x
565x;0.896144x;2.424x;45.4087x
566x;0.891829x;2.42275x;45.3834x
567x;0.887524x;2.42149x;45.358x
568x;0.883229x;2.42023x;45.3325x
569x;0.878944x;2.41896x;45.307x
570x;0.87467x;2.41768x;45.2814x
571x;0.870407x;2.4164x;45.2557x
572x;0.866154x;2.41511x;45.23x
573x;0.861911x;2.41381x;45.2043x
574x;0.857679x;2.41251x;45.1785x
575x;0.853457x;2.4112x;45.1526x
576x;0.849246x;2.40989x;45.1267x
577x;0.845045x;2.40856x;45.1007x
578x;0.840854x;2.40724x;45.0747x
579x;0.836674x;2.40591x;45.0486x
580x;0.832504x;2.40457x;45.0225x
581x;0.828345x;2.40322x;44.9963x
582x;0.824196x;2.40187x;44.9701x
583x;0.820057x;2.40051x;44.9437x
584x;0.815929x;2.39915x;44.9174x
585x;0.811812x;2.39778x;44.891x
586x;0.807704x;2.3964x;44.8645x
587x;0.803607x;2.39502x;44.838x
588x;0.799521x;2.39364x;44.8114x
589x;0.795445x;2.39224x;44.7848x
590x;0.791379x;2.39084x;44.7581x
591x;0.787324x;2.38944x;44.7313x
592x;0.783279x;2.38803x;44.7045x
593x;0.779245x;2.38661x;44.6777x
594x;0.775221x;2.38519x;44.6508x
595x;0.771208x;2.38376x;44.6238x
596x;0.767204x;2.38233x;44.5968x
597x;0.763212x;2.38089x;44.5697x
598x;0.75923x;2.37944x;44.5425x
599x;0.755258x;2.37799x;44.5153x
600x;0.751296x;2.37653x;44.4881x
601x;0.747345x;2.37507x;44.4608x
602x;0.743405x;2.3736x;44.4334x
603x;0.739474x;2.37213x;44.406x
604x;0.735555x;2.37065x;44.3785x
605x;0.731645x;2.36916x;44.351x
606x;0.727746x;2.36767x;44.3234x
607x;0.723858x;2.36618x;44.2958x
608x;0.71998x;2.36468x;44.2681x
609x;0.716112x;2.36317x;44.2403x
610x;0.712255x;2.36166x;44.2125x
611x;0.708408x;2.36014x;44.1846x
612x;0.704572x;2.35861x;44.1567x
613x;0.700745x;2.35708x;44.1287x
614x;0.69693x;2.35555x;44.1007x
615x;0.693125x;2.35401x;44.0726x
616x;0.68933x;2.35246x;44.0445x
617x;0.685546x;2.35091x;44.0162x
618x;0.681772x;2.34936x;43.988x
619x;0.678008x;2.3478x;43.9597x
620x;0.674255x;2.34623x;43.9313x
621x;0.670512x;2.34466x;43.9028x
622x;0.66678x;2.34308x;43.8743x
623x;0.663058x;2.3415x;43.8458x
624x;0.659347x;2.33991x;43.8172x
625x;0.655646x;2.33832x;43.7885x
626x;0.651955x;2.33672x;43.7598x
627x;0.648275x;2.33511x;43.731x
628x;0.644605x;2.3335x;43.7022x
629x;0.640946x;2.33189x;43.6733x
630x;0.637297x;2.33027x;43.6443x
631x;0.633658x;2.32865x;43.6153x
632x;0.63003x;2.32702x;43.5863x
633x;0.626413x;2.32538x;43.5571x
634x;0.622805x;2.32375x;43.5279x
635x;0.619208x;2.3221x;43.4987x
636x;0.615622x;2.32045x;43.4694x
637x;0.612046x;2.3188x;43.44x
638x;0.60848x;2.31714x;43.4106x
639x;0.604925x;2.31547x;43.3812x
640x;0.60138x;2.31381x;43.3516x
641x;0.597846x;2.31213x;43.322x
642x;0.594322x;2.31045x;43.2924x
643x;0.590809x;2.30877x;43.2627x
644x;0.587305x;2.30708x;43.2329x
645x;0.583813x;2.30539x;43.2031x
646x;0.58033x;2.30369x;43.1732x
647x;0.576859x;2.30198x;43.1432x
648x;0.573397x;2.30028x;43.1132x
649x;0.569946x;2.29856x;43.0832x
650x;0.566506x;2.29685x;43.0531x
651x;0.563075x;2.29512x;43.0229x
652x;0.559656x;2.2934x;42.9926x
653x;0.556246x;2.29166x;42.9624x
654x;0.552847x;2.28993x;42.932x
655x;0.549459x;2.28819x;42.9016x
656x;0.546081x;2.28644x;42.8711x
657x;0.542713x;2.28469x;42.8406x
658x;0.539356x;2.28294x;42.81x
659x;0.536009x;2.28118x;42.7793x
660x;0.532672x;2.27941x;42.7486x
661x;0.529346x;2.27764x;42.7178x
662x;0.526031x;2.27587x;42.687x
663x;0.522725x;2.27409x;42.6561x
664x;0.519431x;2.27231x;42.6251x
665x;0.516146x;2.27052x;42.5941x
666x;0.512872x;2.26873x;42.563x
667x;0.509609x;2.26694x;42.5319x
668x;0.506356x;2.26514x;42.5007x
669x;0.503113x;2.26333x;42.4695x
670x;0.499881x;2.26152x;42.4381x
671x;0.496659x;2.25971x;42.4068x
672x;0.493447x;2.25789x;42.3753x
673x;0.490246x;2.25607x;42.3438x
674x;0.487056x;2.25424x;42.3123x
675x;0.483876x;2.25241x;42.2806x
676x;0.480706x;2.25058x;42.2489x
677x;0.477546x;2.24874x;42.2172x
678x;0.474397x;2.24689x;42.1854x
679x;0.471259x;2.24505x;42.1535x
680x;0.468131x;2.24319x;42.1216x
681x;0.465013x;2.24134x;42.0896x
682x;0.461906x;2.23948x;42.0575x
683x;0.458809x;2.23761x;42.0254x
684x;0.455723x;2.23574x;41.9933x
685x;0.452647x;2.23387x;41.961x
686x;0.449581x;2.23199x;41.9287x
687x;0.446526x;2.23011x;41.8963x
688x;0.443481x;2.22822x;41.8639x
689x;0.440447x;2.22633x;41.8314x
690x;0.437423x;2.22444x;41.7989x
691x;0.434409x;2.22254x;41.7663x
692x;0.431406x;2.22064x;41.7336x
693x;0.428413x;2.21873x;41.7008x
694x;0.425431x;2.21683x;41.668x
695x;0.422459x;2.21491x;41.6352x
696x;0.419498x;2.21299x;41.6022x
697x;0.416547x;2.21107x;41.5692x
698x;0.413606x;2.20915x;41.5362x
699x;0.410676x;2.20722x;41.5031x
700x;0.407756x;2.20528x;41.4699x
701x;0.404847x;2.20334x;41.4366x
702x;0.401948x;2.2014x;41.4033x
703x;0.399059x;2.19946x;41.3699x
704x;0.396181x;2.19751x;41.3365x
705x;0.393313x;2.19556x;41.303x
706x;0.390456x;2.1936x;41.2694x
707x;0.387609x;2.19164x;41.2358x
708x;0.384773x;2.18967x;41.2021x
709x;0.381947x;2.18771x;41.1683x
710x;0.379131x;2.18573x;41.1345x
711x;0.376326x;2.18376x;41.1006x
712x;0.373531x;2.18178x;41.0666x
713x;0.370747x;2.1798x;41.0326x
714x;0.367973x;2.17781x;40.9985x
715x;0.365209x;2.17582x;40.9644x
716x;0.362456x;2.17382x;40.9301x
717x;0.359713x;2.17183x;40.8959x
718x;0.356981x;2.16983x;40.8615x
719x;0.354259x;2.16782x;40.8271x
720x;0.351548x;2.16581x;40.7926x
721x;0.348847x;2.1638x;40.7581x
722x;0.346156x;2.16178x;40.7234x
723x;0.343476x;2.15976x;40.6888x
724x;0.340806x;2.15774x;40.654x
725x;0.338147x;2.15571x;40.6192x
726x;0.335498x;2.15368x;40.5843x
727x;0.332859x;2.15165x;40.5493x
728x;0.330231x;2.14961x;40.5143x
729x;0.327613x;2.14757x;40.4792x
730x;0.325006x;2.14553x;40.4441x
731x;0.322409x;2.14348x;40.4089x
732x;0.319823x;2.14143x;40.3736x
733x;0.317247x;2.13938x;40.3382x
734x;0.314681x;2.13732x;40.3028x
735x;0.312126x;2.13526x;40.2673x
736x;0.309581x;2.1332x;40.2318x
737x;0.307047x;2.13113x;40.1961x
738x;0.304523x;2.12906x;40.1604x
739x;0.302009x;2.12698x;40.1247x
740x;0.299506x;2.12491x;40.0888x
741x;0.297013x;2.12283x;40.0529x
742x;0.294531x;2.12074x;40.017x
743x;0.292059x;2.11865x;39.9809x
744x;0.289598x;2.11656x;39.9448x
745x;0.287147x;2.11447x;39.9086x
746x;0.284706x;2.11237x;39.8724x
747x;0.282276x;2.11027x;39.8361x
748x;0.279856x;2.10817x;39.7997x
749x;0.277447x;2.10606x;39.7632x
750x;0.275048x;2.10395x;39.7267x
751x;0.272659x;2.10184x;39.6901x
752x;0.270281x;2.09972x;39.6534x
753x;0.267913x;2.09761x;39.6167x
754x;0.265556x;2.09548x;39.5799x
755x;0.263209x;2.09336x;39.543x
756x;0.260873x;2.09123x;39.5061x
757x;0.258547x;2.0891x;39.469x
758x;0.256231x;2.08696x;39.4319x
759x;0.253926x;2.08483x;39.3948x
760x;0.251631x;2.08269x;39.3575x
761x;0.249347x;2.08054x;39.3202x
762x;0.247073x;2.0784x;39.2829x
763x;0.244809x;2.07625x;39.2454x
764x;0.242556x;2.07409x;39.2079x
765x;0.240313x;2.07194x;39.1703x
766x;0.238081x;2.06978x;39.1326x
767x;0.235859x;2.06762x;39.0949x
768x;0.233648x;2.06546x;39.0571x
769x;0.231446x;2.06329x;39.0192x
770x;0.229256x;2.06112x;38.9812x
771x;0.227076x;2.05895x;38.9432x
772x;0.224906x;2.05677x;38.9051x
773x;0.222746x;2.05459x;38.8669x
774x;0.220597x;2.05241x;38.8287x
775x;0.218459x;2.05023x;38.7903x
776x;0.216331x;2.04804x;38.7519x
777x;0.214213x;2.04585x;38.7134x
778x;0.212106x;2.04366x;38.6749x
779x;0.210009x;2.04147x;38.6363x
780x;0.207922x;2.03927x;38.5976x
781x;0.205846x;2.03707x;38.5588x
782x;0.203781x;2.03486x;38.52x
783x;0.201726x;2.03266x;38.481x
784x;0.199681x;2.03045x;38.442x
785x;0.197646x;2.02824x;38.403x
786x;0.195622x;2.02602x;38.3638x
787x;0.193609x;2.02381x;38.3246x
788x;0.191606x;2.02159x;38.2853x
789x;0.189613x;2.01937x;38.2459x
790x;0.187631x;2.01714x;38.2064x
791x;0.185659x;2.01492x;38.1669x
792x;0.183697x;2.01269x;38.1273x
793x;0.181746x;2.01046x;38.0876x
794x;0.179806x;2.00822x;38.0479x
795x;0.177875x;2.00598x;38.008x
796x;0.175956x;2.00374x;37.9681x
797x;0.174046x;2.0015x;37.9281x
798x;0.172147x;1.99926x;37.888x
799x;0.170259x;1.99701x;37.8479x
800x;0.168381x;1.99476x;37.8077x
801x;0.166513x;1.99251x;37.7673x
802x;0.164656x;1.99026x;37.727x
803x;0.162809x;1.988x;37.6865x
804x;0.160972x;1.98574x;37.646x
805x;0.159146x;1.98348x;37.6053x
806x;0.15733x;1.98121x;37.5646x
807x;0.155525x;1.97895x;37.5239x
808x;0.15373x;1.97668x;37.483x
809x;0.151946x;1.97441x;37.4421x
810x;0.150172x;1.97213x;37.401x
811x;0.148409x;1.96986x;37.3599x
812x;0.146655x;1.96758x;37.3188x
813x;0.144913x;1.9653x;37.2775x
814x;0.14318x;1.96302x;37.2361x
815x;0.141458x;1.96073x;37.1947x
816x;0.139747x;1.95845x;37.1532x
817x;0.138046x;1.95616x;37.1116x
818x;0.136355x;1.95387x;37.07x
819x;0.134675x;1.95157x;37.0282x
820x;0.133005x;1.94928x;36.9864x
821x;0.131346x;1.94698x;36.9445x
822x;0.129697x;1.94468x;36.9025x
823x;0.128058x;1.94238x;36.8604x
824x;0.12643x;1.94007x;36.8183x
825x;0.124812x;1.93776x;36.776x
826x;0.123205x;1.93546x;36.7337x
827x;0.121608x;1.93314x;36.6913x
828x;0.120022x;1.93083x;36.6488x
829x;0.118446x;1.92852x;36.6062x
830x;0.11688x;1.9262x;36.5636x
831x;0.115325x;1.92388x;36.5208x
832x;0.11378x;1.92156x;36.478x
833x;0.112246x;1.91923x;36.4351x
834x;0.110722x;1.91691x;36.3921x
835x;0.109208x;1.91458x;36.349x
836x;0.107705x;1.91225x;36.3058x
837x;0.106212x;1.90992x;36.2626x
838x;0.10473x;1.90759x;36.2192x
839x;0.103258x;1.90525x;36.1758x
840x;0.101797x;1.90291x;36.1323x
841x;0.100345x;1.90058x;36.0887x
842x;0.0989048x;1.89823x;36.045x
843x;0.0974746x;1.89589x;36.0013x
844x;0.0960548x;1.89355x;35.9574x
845x;0.0946454x;1.8912x;35.9135x
846x;0.0932464x;1.88885x;35.8694x
847x;0.0918578x;1.8865x;35.8253x
848x;0.0904797x;1.88415x;35.7811x
849x;0.089112x;1.88179x;35.7368x
850x;0.0877546x;1.87944x;35.6924x
851x;0.0864077x;1.87708x;35.648x
852x;0.0850713x;1.87472x;35.6034x
853x;0.0837452x;1.87236x;35.5588x
854x;0.0824296x;1.86999x;35.514x
855x;0.0811243x;1.86763x;35.4692x
856x;0.0798295x;1.86526x;35.4243x
857x;0.0785451x;1.86289x;35.3793x
858x;0.0772711x;1.86052x;35.3342x
859x;0.0760076x;1.85815x;35.289x
860x;0.0747544x;1.85578x;35.2437x
861x;0.0735117x;1.8534x;35.1984x
862x;0.0722794x;1.85102x;35.1529x
863x;0.0710575x;1.84864x;35.1073x
864x;0.069846x;1.84626x;35.0617x
865x;0.0686449x;1.84388x;35.016x
866x;0.0674543x;1.8415x;34.9702x
867x;0.066274x;1.83911x;34.9242x
868x;0.0651042x;1.83672x;34.8782x
869x;0.0639448x;1.83434x;34.8321x
870x;0.0627958x;1.83195x;34.7859x
871x;0.0616573x;1.82955x;34.7397x
872x;0.0605291x;1.82716x;34.6933x
873x;0.0594114x;1.82476x;34.6468x
874x;0.0583041x;1.82237x;34.6002x
875x;0.0572071x;1.81997x;34.5536x
876x;0.0561207x;1.81757x;34.5068x
877x;0.0550446x;1.81517x;34.46x
878x;0.0539789x;1.81277x;34.413x
879x;0.0529237x;1.81036x;34.366x
880x;0.0518789x;1.80796x;34.3189x
881x;0.0508445x;1.80555x;34.2716x
882x;0.0498205x;1.80314x;34.2243x
883x;0.0488069x;1.80073x;34.1769x
884x;0.0478038x;1.79832x;34.1294x
885x;0.046811x;1.79591x;34.0818x
886x;0.0458287x;1.79349x;34.034x
887x;0.0448568x;1.79108x;33.9862x
888x;0.0438953x;1.78866x;33.9383x
889x;0.0429443x;1.78624x;33.8903x
890x;0.0420036x;1.78382x;33.8422x
891x;0.0410734x;1.7814x;33.794x
892x;0.0401535x;1.77898x;33.7457x
893x;0.0392441x;1.77655x;33.6973x
894x;0.0383451x;1.77413x;33.6488x
895x;0.0374566x;1.7717x;33.6003x
896x;0.0365784x;1.76927x;33.5516x
897x;0.0357107x;1.76684x;33.5028x
898x;0.0348534x;1.76441x;33.4539x
899x;0.0340065x;1.76198x;33.4049x
900x;0.03317x;1.75955x;33.3558x
901x;0.0323439x;1.75712x;33.3066x
902x;0.0315282x;1.75468x;33.2573x
903x;0.030723x;1.75224x;33.2079x
904x;0.0299282x;1.74981x;33.1584x
905x;0.0291438x;1.74737x;33.1088x
906x;0.0283698x;1.74493x;33.0591x
907x;0.0276062x;1.74249x;33.0093x
908x;0.026853x;1.74004x;32.9594x
909x;0.0261103x;1.7376x;32.9094x
910x;0.025378x;1.73515x;32.8593x
911x;0.0246561x;1.73271x;32.809x
912x;0.0239446x;1.73026x;32.7587x
913x;0.0232435x;1.72781x;32.7083x
914x;0.0225528x;1.72536x;32.6578x
915x;0.0218726x;1.72291x;32.6071x
916x;0.0212028x;1.72046x;32.5564x
917x;0.0205434x;1.71801x;32.5056x
918x;0.0198944x;1.71556x;32.4546x
919x;0.0192558x;1.7131x;32.4035x
920x;0.0186276x;1.71065x;32.3524x
921x;0.0180099x;1.70819x;32.3011x
922x;0.0174026x;1.70573x;32.2497x
923x;0.0168056x;1.70327x;32.1983x
924x;0.0162192x;1.70081x;32.1467x
925x;0.0156431x;1.69835x;32.095x
926x;0.0150774x;1.69589x;32.0432x
927x;0.0145222x;1.69343x;31.9912x
928x;0.0139773x;1.69096x;31.9392x
929x;0.0134429x;1.6885x;31.8871x
930x;0.0129189x;1.68603x;31.8348x
931x;0.0124054x;1.68357x;31.7825x
932x;0.0119022x;1.6811x;31.73x
933x;0.0114094x;1.67863x;31.6775x
934x;0.0109271x;1.67616x;31.6248x
935x;0.0104552x;1.67369x;31.572x
936x;0.00999371x;1.67122x;31.5191x
937x;0.00954263x;1.66875x;31.4661x
938x;0.00910197x;1.66628x;31.4129x
939x;0.00867172x;1.6638x;31.3597x
940x;0.00825189x;1.66133x;31.3064x
941x;0.00784248x;1.65886x;31.2529x
942x;0.00744348x;1.65638x;31.1993x
943x;0.0070549x;1.6539x;31.1456x
944x;0.00667674x;1.65143x;31.0918x
945x;0.00630899x;1.64895x;31.0379x
946x;0.00595166x;1.64647x;30.9839x
947x;0.00560474x;1.64399x;30.9297x
948x;0.00526824x;1.64151x;30.8755x
949x;0.00494216x;1.63903x;30.8211x
950x;0.0046265x;1.63655x;30.7666x
951x;0.00432125x;1.63406x;30.712x
952x;0.00402641x;1.63158x;30.6573x
953x;0.003742x;1.6291x;30.6024x
954x;0.003468x;1.62661x;30.5474x
955x;0.00320442x;1.62413x;30.4924x
956x;0.00295125x;1.62164x;30.4372x
957x;0.0027085x;1.61915x;30.3819x
958x;0.00247617x;1.61666x;30.3264x
959x;0.00225425x;1.61418x;30.2709x
960x;0.00204275x;1.61169x;30.2152x
961x;0.00184166x;1.6092x;30.1594x
962x;0.001651x;1.60671x;30.1035x
963x;0.00147075x;1.60422x;30.0475x
964x;0.00130091x;1.60173x;29.9913x
965x;0.00114149x;1.59924x;29.9351x
966x;0.000992492x;1.59674x;29.8787x
967x;0.000853907x;1.59425x;29.8222x
968x;0.000725738x;1.59176x;29.7655x
969x;0.000607986x;1.58926x;29.7088x
970x;0.000500651x;1.58677x;29.6519x
971x;0.000403732x;1.58428x;29.5949x
972x;0.000317229x;1.58178x;29.5377x
973x;0.000241143x;1.57928x;29.4805x
974x;0.000175475x;1.57679x;29.4231x
975x;0.000120223x;1.57429x;29.3656x
976x;7.53888e-05x;1.57179x;29.308x
977x;4.09752e-05x;1.5693x;29.2502x
978x;1.69939e-05x;1.5668x;29.1924x
979x;3.59755e-06x;1.5643x;29.1343x
980x;-7.31066e-07x;1.5618x;29.0763x
981x;-7.31066e-07x;1.55931x;29.0183x
982x;-7.31066e-07x;1.55683x;28.9606x
983x;-7.31066e-07x;1.55435x;28.9032x
984x;-7.31066e-07x;1.55189x;28.846x
985x;-7.31066e-07x;1.54944x;28.7892x
986x;-7.31066e-07x;1.547x;28.7326x
987x;-7.31066e-07x;1.54456x;28.6763x
988x;-7.31066e-07x;1.54214x;28.6202x
989x;-7.31066e-07x;1.53973x;28.5645x
990x;-7.31066e-07x;1.53732x;28.509x
991x;-7.31066e-07x;1.53493x;28.4538x
992x;-7.31066e-07x;1.53255x;28.3988x
993x;-7.31066e-07x;1.53017x;28.3442x
994x;-7.31066e-07x;1.52781x;28.2898x
995x;-7.31066e-07x;1.52545x;28.2357x
996x;-7.31066e-07x;1.5231x;28.1818x
997x;-7.31066e-07x;1.52077x;28.1282x
998x;-7.31066e-07x;1.51844x;28.0749x
999x;-7.31066e-07x;1.51612x;28.0219x
1000x;-7.31066e-07x;1.51381x;27.9691x
1001x;-7.31066e-07x;1.51151x;27.9166x
1002x;-7.31066e-07x;1.50922x;27.8643x
1003x;-7.31066e-07x;1.50694x;27.8124x
1004x;-7.31066e-07x;1.50467x;27.7606x
1005x;-7.31066e-07x;1.50241x;27.7092x
1006x;-7.31066e-07x;1.50016x;27.658x
1007x;-7.31066e-07x;1.49791x;27.6071x
1008x;-7.31066e-07x;1.49568x;27.5565x
1009x;-7.31066e-07x;1.49346x;27.5061x
1010x;-7.31066e-07x;1.49124x;27.4559x
1011x;-7.31066e-07x;1.48903x;27.4061x
1012x;-7.31066e-07x;1.48683x;27.3565x
1013x;-7.31066e-07x;1.48465x;27.3071x
1014x;-7.31066e-07x;1.48246x;27.258x
1015x;-7.31066e-07x;1.48029x;27.2092x
1016x;-7.31066e-07x;1.47813x;27.1606x
1017x;-7.31066e-07x;1.47598x;27.1123x
1018x;-7.31066e-07x;1.47383x;27.0642x
1019x;-7.31066e-07x;1.4717x;27.0164x
1020x;-7.31066e-07x;1.46957x;26.9689x
1021x;-7.31066e-07x;1.46745x;26.9216x
1022x;-7.31066e-07x;1.46534x;26.8746x
1023x;-7.31066e-07x;1.46324x;26.8278x
1024x;-7.31066e-07x;1.46115x;26.7812x
1025x;-7.31066e-07x;1.45907x;26.7349x
1026x;-7.31066e-07x;1.45699x;26.6889x
1027x;-7.31066e-07x;1.45493x;26.6431x
1028x;-7.31066e-07x;1.45287x;26.5976x
1029x;-7.31066e-07x;1.45082x;26.5523x
1030x;-7.31066e-07x;1.44878x;26.5073x
1031x;-7.31066e-07x;1.44675x;26.4625x
1032x;-7.31066e-07x;1.44472x;26.4179x
1033x;-7.31066e-07x;1.44271x;26.3736x
1034x;-7.31066e-07x;1.4407x;26.3296x
1035x;-7.31066e-07x;1.4387x;26.2858x
1036x;-7.31066e-07x;1.43671x;26.2422x
1037x;-7.31066e-07x;1.43473x;26.1989x
1038x;-7.31066e-07x;1.43275x;26.1558x
1039x;-7.31066e-07x;1.43079x;26.1129x
1040x;-7.31066e-07x;1.42883x;26.0703x
1041x;-7.31066e-07x;1.42688x;26.028x
1042x;-7.31066e-07x;1.42494x;25.9858x
1043x;-7.31066e-07x;1.42301x;25.944x
1044x;-7.31066e-07x;1.42108x;25.9023x
1045x;-7.31066e-07x;1.41917x;25.8609x
1046x;-7.31066e-07x;1.41726x;25.8197x
1047x;-7.31066e-07x;1.41536x;25.7788x
1048x;-7.31066e-07x;1.41346x;25.738x
1049x;-7.31066e-07x;1.41158x;25.6976x
1050x;-7.31066e-07x;1.4097x;25.6573x
1051x;-7.31066e-07x;1.40783x;25.6173x
1052x;-7.31066e-07x;1.40597x;25.5775x
1053x;-7.31066e-07x;1.40412x;25.538x
1054x;-7.31066e-07x;1.40227x;25.4986x
1055x;-7.31066e-07x;1.40043x;25.4595x
1056x;-7.31066e-07x;1.3986x;25.4207x
1057x;-7.31066e-07x;1.39678x;25.382x
1058x;-7.31066e-07x;1.39497x;25.3436x
1059x;-7.31066e-07x;1.39316x;25.3054x
1060x;-7.31066e-07x;1.39136x;25.2674x
1061x;-7.31066e-07x;1.38957x;25.2297x
1062x;-7.31066e-07x;1.38778x;25.1922x
1063x;-7.31066e-07x;1.38601x;25.1549x
1064x;-7.31066e-07x;1.38424x;25.1178x
1065x;-7.31066e-07x;1.38248x;25.0809x
1066x;-7.31066e-07x;1.38072x;25.0443x
1067x;-7.31066e-07x;1.37898x;25.0079x
1068x;-7.31066e-07x;1.37724x;24.9716x
1069x;-7.31066e-07x;1.3755x;24.9357x
1070x;-7.31066e-07x;1.37378x;24.8999x
1071x;-7.31066e-07x;1.37206x;24.8643x
